Sample in Buffer,Sample in Window,TRIGGER,design_1_i/compress_0_WC_TDATA[31:0],design_1_i/compress_0_WC_TVALID
365,365,0,00000000000000000000010001000111,1
366,366,0,11111111111111111111111111111111,1
367,367,0,11111111111111111111111111111111,1
368,368,0,11111111111111111111111111111111,1
369,369,0,00000000000000000000010000111011,1
370,370,0,11111111111111111111111111111111,1
371,371,0,11111111111111111111111111111111,1
372,372,0,11111111111111111111111111111111,1
373,373,0,11111111111111111111111111111111,1
374,374,0,00000000000000000000010001110111,1
375,375,0,11111111111111111111111111111111,1
376,376,0,11111111111111111111111111111111,1
377,377,0,11111111111111111111111111111111,1
378,378,0,00000000000000000000010000111110,1
379,379,0,11111111111111111111111111111111,1
380,380,0,11111111111111111111111111111111,1
381,381,0,11111111111111111111111111111111,1
382,382,0,00000000000000000000010001011010,1
383,383,0,11111111111111111111111111111111,1
384,384,0,11111111111111111111111111111111,1
385,385,0,11111111111111111111111111111111,1
386,386,0,00000000000000000000010001001110,1
387,387,0,11111111111111111111111111111111,1
388,388,0,11111111111111111111111111111111,1
389,389,0,11111111111111111111111111111111,1
390,390,0,00000000000000000000010001000010,1
391,391,0,11111111111111111111111111111111,1
392,392,0,11111111111111111111111111111111,1
393,393,0,11111111111111111111111111111111,1
394,394,0,00000000000000000000010001011110,1
395,395,0,11111111111111111111111111111111,1
396,396,0,11111111111111111111111111111111,1
397,397,0,11111111111111111111111111111111,1
398,398,0,00000000000000000000010001010010,1
399,399,0,11111111111111111111111111111111,1
400,400,0,11111111111111111111111111111111,1
401,401,0,11111111111111111111111111111111,1
402,402,0,00000000000000000000010001000110,1
403,403,0,11111111111111111111111111111111,1
404,404,0,11111111111111111111111111111111,1
405,405,0,11111111111111111111111111111111,1
406,406,0,00000000000000000000010000111010,1
407,407,0,11111111111111111111111111111111,1
408,408,0,11111111111111111111111111111111,1
409,409,0,11111111111111111111111111111111,1
410,410,0,00000000000000000000010001010110,1
411,411,0,11111111111111111111111111111111,1
412,412,0,11111111111111111111111111111111,1
413,413,0,11111111111111111111111111111111,1
414,414,0,00000000000000000000010001001010,1
415,415,0,11111111111111111111111111111111,1
416,416,0,11111111111111111111111111111111,1
417,417,0,11111111111111111111111111111111,1
418,418,0,11111111111111111111111111111111,1
419,419,0,00000000000000000000010010000010,1
420,420,0,11111111111111111111111111111111,1
421,421,0,11111111111111111111111111111111,1
422,422,0,11111111111111111111111111111111,1
423,423,0,11111111111111111111111111111111,1
424,424,0,00000000000000000000010001100110,1
425,425,0,11111111111111111111111111111111,1
426,426,0,11111111111111111111111111111111,1
427,427,0,11111111111111111111111111111111,1
428,428,0,11111111111111111111111111111111,1
429,429,0,00000000000000000000010001110001,1
430,430,0,11111111111111111111111111111111,1
431,431,0,11111111111111111111111111111111,1
432,432,0,11111111111111111111111111111111,1
433,433,0,11111111111111111111111111111111,1
434,434,0,00000000000000000000010001111100,1
435,435,0,11111111111111111111111111111111,1
436,436,0,11111111111111111111111111111111,1
437,437,0,11111111111111111111111111111111,1
438,438,0,11111111111111111111111111111111,1
439,439,0,00000000000000000000010010000111,1
440,440,0,11111111111111111111111111111111,1
441,441,0,11111111111111111111111111111111,1
442,442,0,11111111111111111111111111111111,1
443,443,0,11111111111111111111111111111111,1
444,444,0,11111111111111111111111111111111,1
445,445,0,00000000000000000000010001101011,1
446,446,0,11111111111111111111111111111111,1
447,447,0,11111111111111111111111111111111,1
448,448,0,11111111111111111111111111111111,1
449,449,0,11111111111111111111111111111111,1
450,450,0,00000000000000000000010010000000,1
451,451,0,11111111111111111111111111111111,1
452,452,0,11111111111111111111111111111111,1
453,453,0,11111111111111111111111111111111,1
454,454,0,11111111111111111111111111111111,1
455,455,0,00000000000000000000010010001011,1
456,456,0,11111111111111111111111111111111,1
457,457,0,11111111111111111111111111111111,1
458,458,0,11111111111111111111111111111111,1
